Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair
2018-06-26,12.95,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2018-06-26,9.99,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2018-08-22,13.85,1.0,TX,"Ener-C Raspberry Electrolyte Multivitamin Drink Mix, 1000mg Vitamin C, Non-GMO, Vegan, Real Fruit Juice Powders, Natural Immunity Support, Gluten Free, 1-Pack of 30",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2018-08-22,7.98,1.0,TX,"Emergen-C Hydration+ Sports Drink Mix With Vitamin C (18 Count, Raspberry Flavor), Electrolyte Replenishment, 0.33 Ounce Powder Packets",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2018-11-12,9.97,2.0,TX,"Centrum Chewable Multivitamin for Adults, 100 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-03-21,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-03-21,21.51,1.0,TX,"Bariatric Advantage - Vitamin D3 Chewable Gels, 10,000IU - Lemon, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-04-01,9.97,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-04-30,16.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink Mix, Raspberry Flavor - 60 Count/2 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-05-11,9.47,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-05-28,9.97,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-06-27,9.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-07-28,9.99,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-09-21,20.95,1.0,TX,Seeking Health Optimal Multivitamin – Men’s Vitamins – Multivitamin for Women – Daily Chewable Multivitamin – Supports Healthy Energy Production* – 60 Chewable Tablets,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-10-29,9.18,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-10-29,20.95,1.0,TX,Seeking Health Optimal Multivitamin – Men’s Vitamins – Multivitamin for Women – Daily Chewable Multivitamin – Supports Healthy Energy Production* – 60 Chewable Tablets,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2019-12-31,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2020-01-29,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2020-01-29,9.18,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2020-07-26,18.9,1.0,TX,"Ener-C Vitamin Drink Mix, Lemon Lime, 1000 Mg, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2020-10-19,16.97,1.0,TX,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2020-10-19,7.99,1.0,TX,"Inositol Powder 8 oz | Vegan, Vegetarian Non-GMO, Gluten Free Supplement | by Horbaach",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-02-07,21.99,1.0,CO,"NatureGenX Methylation Protect w/ Active B12 with L-5-MTHF for MTHFR Support Supplement, Natural Cherry Methylfolate B12 Sublingual, Gluten-Free (60 Tables)",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-04-14,15.86,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-04-25,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-07-28,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-08-03,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-09-25,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-10-29,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2021-11-28,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-01-29,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-03-21,15.16,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-03-28,12.58,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-04-28,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-07-29,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-07-29,16.7,1.0,CO,"Flintstones Chewable Kids Vitamins, Complete Multivitamin for Kids and Toddlers with Iron, Calcium, Vitamin C, Vitamin D & more, 180ct",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-09-05,19.95,1.0,CO,Multivitamin for Men | Sugar Free Mens Multivitamin | Liquid Vitamins for Men | Immune Support Supplement | Cognitive Health & Overall Wellness | Vegan | Non-GMO | 15.22 Fl Oz,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-10-28,15.96,1.0,CO,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2022-11-08,29.95,1.0,CO,Multivitamin for Men | Sugar Free Mens Multivitamin | Liquid Vitamins for Men | Immune Support Supplement | Cognitive Health & Overall Wellness | Vegan | Non-GMO | 15.22 Fl Oz,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No
2018-02-03,7.6,1.0,WI,"Solgar Vitamin B6 25 mg, 100 Tablets - Supports Energy Metabolism, Heart Health & Healthy Nervous System - B Complex Supplement - Vegan, Gluten Free, Dairy Free, Kosher - 100 Servings",35 - 44 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),1 (just me!),4+,Less than 5 times per month,No,No,I stopped in the recent past,No,No
2018-12-26,16.14,1.0,TN,"Natrol Biotin Beauty Tablets Promotes Healthy Hair Skin and Nails Helps Support Energy Metabolism Helps Convert Food Into Energy Maximum Strength 10000mcg, Multi, 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2019-01-26,12.8,1.0,TN,"Natrol Vitamin B12 Fast Dissolve Tablets, Promotes Energy, Supports a Healthy Nervous System, Maximum Strength, Strawberry Flavor, 5,000mcg, 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2019-04-25,11.8,1.0,TN,"Natrol Vitamin B12 Fast Dissolve Tablets, Promotes Energy, Supports a Healthy Nervous System, Maximum Strength, Strawberry Flavor, 5,000mcg, 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2019-07-31,14.98,1.0,TN,"Natrol Biotin Beauty Tablets Promotes Healthy Hair Skin and Nails Helps Support Energy Metabolism Helps Convert Food Into Energy Maximum Strength 10000mcg, Multi, 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2020-01-07,9.99,1.0,TN,"Ultra Biotin 10,000 Mcg Hair Skin and Nails Supplement, Non-GMO, 120 Vegetarian Capsules",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2020-05-26,9.99,1.0,TN,"Ultra Biotin 10,000 Mcg Hair Skin and Nails Supplement, Non-GMO, 120 Vegetarian Capsules",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2020-09-24,14.99,1.0,TN,"Ultra Biotin 10,000 Mcg Hair Skin and Nails Supplement, Non-GMO, 120 Vegetarian Capsules",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),2,3,Less than 5 times per month,Yes,Yes,No,Yes,No
2018-10-03,15.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2019-01-31,15.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2019-03-06,8.89,1.0,UT,"vitafusion PreNatal Gummy Vitamins, Lemon & Raspberry Lemonade Flavored Pregnancy Vitamins for Women, 90 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2019-04-01,8.89,1.0,UT,"vitafusion PreNatal Gummy Vitamins, Lemon & Raspberry Lemonade Flavored Pregnancy Vitamins for Women, 90 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2019-10-01,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2020-05-29,17.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2021-08-14,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2022-09-20,18.99,1.0,UT,"Nature's Bounty Vitamin C Caplets, 1000 mg Vitamin C Supplement, 300 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2022-11-14,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No
2021-01-30,19.98,1.0,IL,"Optimum Nutrition Opti-Men, Vitamin C, Zinc and Vitamin D, E, B12 for Immune Support Mens Daily Multivitamin Supplement, 90 Count (Packaging May Vary)",25 - 34 years,No,"White or Caucasian,Asian",Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,2,5 - 10 times per month,Yes,Yes,No,No,No
2019-10-22,4.73,1.0,MI,"Nature's Wonder Vitamin D3 125mcg (5000IU) Soft Gels, 150 Count",65 and older,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,No,No,No
2019-11-06,9.17,1.0,MI,"Extra Strength Vitamin B12 2500 mcg Tablets, 60 Count",65 and older,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,No,No,No
2018-02-25,7.19,1.0,TX,"Yes To Cucumber Soothing Eye Gel For Sensitive Skin With Aloe, Chamomile, and Green Tea, 1.01 Fluid Ounce",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),2,4+,Less than 5 times per month,Yes,No,No,No,No
2021-01-10,5.47,2.0,TX,"Doctor's Best Vitamin D3 2 000 IU Healthy Bones Teeth Heart Immune Support NonGMO GlutenFree Soy Free , 180 Count",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),2,4+,Less than 5 times per month,Yes,No,No,No,No
2019-02-15,34.2,1.0,OH,Vital Nutrients - Vitamin C 1000 mg (100% Pure Ascorbic Acid) - Potent Antioxidant to Support Iron Absorption - 220 Vegetarian Capsules,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,Less than 5 times per month,Yes,No,Yes,No,No
