Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Vitamins Found,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,B1,B2,B3,B6,B12,B5,B7,B9,Multivitamin,Vitamins List,Vitamin Count
2019-10-29,9.18,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2019-10-29,20.95,1.0,TX,Seeking Health Optimal Multivitamin – Men’s Vitamins – Multivitamin for Women – Daily Chewable Multivitamin – Supports Healthy Energy Production* – 60 Chewable Tablets,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Multivitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Multivitamin,1
2019-12-31,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2020-01-29,14.95,1.0,TX,Vitamin D3 K2 Chewables with Vitamin D 2000iu and K2 MK7 - Cherry Flavored Sublingual Vitamin D K2 Tablets - K2 D3 Vitamin Supplement for Adults and Kids,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2020-01-29,9.18,1.0,TX,"Emergen-C 1000mg Vitamin C Powder, with Antioxidants, B Vitamins and Electrolytes, Vitamin C Supplements for Immune Support, Caffeine Free Drink, Cranberry Pomegranate Flavor - 30 Count/1 Month Supply",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,"Vitamin C, B12",0,1,0,0,0,1,0,0,0,1,0,0,0,0,"Vitamin C, B1, B12",3
2020-07-26,18.9,1.0,TX,"Ener-C Vitamin Drink Mix, Lemon Lime, 1000 Mg, 30 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2020-10-19,16.97,1.0,TX,"Bluebonnet Nutrition Earth Sweet Vitamin D3 5000 IU Chewable Tablets, Aids in Muscle & Skeletal Growth, Non GMO, Gluten & Soy & Milk Free, Kosher, Raspberry, White, 90 Count",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2020-10-19,7.99,1.0,TX,"Inositol Powder 8 oz | Vegan, Vegetarian Non-GMO, Gluten Free Supplement | by Horbaach",25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2018-02-25,7.19,1.0,TX,"Yes To Cucumber Soothing Eye Gel For Sensitive Skin With Aloe, Chamomile, and Green Tea, 1.01 Fluid Ounce",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),2,4+,Less than 5 times per month,Yes,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2021-01-10,5.47,2.0,TX,"Doctor's Best Vitamin D3 2 000 IU Healthy Bones Teeth Heart Immune Support NonGMO GlutenFree Soy Free , 180 Count",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),2,4+,Less than 5 times per month,Yes,No,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Vitamin D,1
2022-10-04,9.99,1.0,NY,"It's Just! - Vitamin C Powder, 100% Pure Ascorbic Acid, Food Grade, Immune Support, Homemade Cosmetics (11oz)",35 - 44 years,Yes,"White or Caucasian,American Indian/Native American or Alaska Native",High school diploma or GED,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),4+,Less than 5 times per month,No,No,Yes,Yes,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-10-09,13.99,1.0,NY,"Vitafusion Organic Men’s Gummy Multivitamin, 90 Count - Non-GMO, Gluten-Free, No Gelatin, No HFCS",25 - 34 years,No,Black or African American,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),4+,Less than 5 times per month,No,Yes,Yes,No,No,Multivitamin,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Multivitamin,1
2021-05-09,18.28,1.0,NY,"Pure Liposomal Vitamin C Capsules Supplement- 1250mg High Absorption Ascorbic Acid, Natural Immune System Support, Lipo Spheric VIT C & Choline Anti Inflammatory Anti Aging Booster, Vegan, USA",25 - 34 years,No,Black or African American,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),4+,Less than 5 times per month,No,Yes,Yes,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2018-07-14,8.11,1.0,TX,"Nature's Way Vitamin C with Bioflavonoids, 1000 mg Vitamin C per Serving, 100 Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2018-10-10,9.79,1.0,TX,"Nature's Way Vitamin C with Bioflavonoids, 1000 mg Vitamin C per Serving, 100 Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-09-19,37.95,1.0,TX,Sports Research Vitamin D3 + K2 with 5000iu of Plant-Based D3 & 100mcg of Vitamin K2 as MK-7 | Non-GMO Verified & Vegan Certified (120ct),55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,"Vitamin D, Vitamin K",0,0,1,0,1,0,0,0,0,0,0,0,0,0,"Vitamin D, Vitamin K",2
2020-09-20,19.99,1.0,TX,Clinical Daily Complete Whole Food Multivitamin Supplement for Women & Men - Complete Liquid Vitamin Absorption! 42 Superfood Fruits Vegetables - Young Adult to Senior - 120 Liquid Capsules,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,"Vitamin A, Multivitamin",1,0,0,0,0,0,0,0,0,0,0,0,0,1,"Vitamin A, Multivitamin",2
2021-02-22,19.99,1.0,TX,"SOLARAY Vitamin C & Bioflavonoids 500 mg, 1:1 Ratio, Healthy Immune System & Antioxidant Support, Vegan, Lab Verified, 60-Day Money-Back Guarantee (250 CT, 125 Serv.)",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2021-04-27,11.14,1.0,TX,"NOW Supplements, Rutin (Sophora japonica) 450 mg, Free Radical Scavenger*, Cell Defense*, 100 Veg Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2021-07-02,19.97,1.0,TX,"Zazzee Myo-Inositol + D-Chiro + Vitex, 120 Vegan Capsules, Optimal 40:1 Inositol Ratio, with 500 mg Vitex, Vegan, Non-GMO and All-Natural, Supports Healthy Ovulation and a Regular Cycle",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2022-09-22,14.95,1.0,TX,"Nutricost Vitamin B1 (Thiamine) 500mg, 120 Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,B1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B1,1
2022-12-29,39.97,1.0,TX,"Dr. Mercola Liposomal Vitamin C Dietary Supplement, 1,000mg per Serving, 90 Servings (180 Capsules), Immune Support, Non GMO, Soy Free, Gluten Free",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2023-02-24,35.99,1.0,TX,"Aviva Advanced Hair Nutrition Hair Growth Vitamins – 120 Capsules Hair Vitamins Dietary Supplement for Thicker, Fuller Hair – Biotin 5000mcg with 18 Essential Oils and Nutrients",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,B7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B7,1
2022-11-17,16.71,1.0,TX,"Liquid Biotin & Collagen Hair Growth Drops 50,000mcg – Biotin and Liquid Collagen Supplements for Women & Men – Supports Glowing Skin, Healthy Hair & Nail Growth (2Fl Oz)",35 - 44 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),3,3,5 - 10 times per month,No,No,Yes,No,No,B7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B7,1
2019-11-20,9.38,1.0,TX,"Jarrow Formulas Extra Strength Methyl B-12 & Methyl Folate - 100 Chewable Tablets, Lemon Flavored - Bioactive Vitamin B12 & B9 - Cellular Energy and Cardiovascular Support (Packaging May Vary)",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,"B1, B12, B9, B9, B12",0,0,0,0,0,1,0,0,0,1,0,0,1,0,"B1, B12, B9",3
2020-02-11,7.41,1.0,TX,"Nature’s Bounty Biotin, Supports Healthy Hair, Skin and Nails, 10,000 mcg, Rapid Release Softgels, 120 Ct",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,B7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B7,1
2020-04-18,8.11,1.0,TX,"NOW Supplements, Pantothenic Acid (Vitamin B-5) 500 mg, B-Complex Vitamin, 100 Capsules",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,B5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B5,1
2020-11-18,12.95,1.0,TX,Nutricost Niacin Vitamin B3 Powder 250 Grams - 1G Per Serving - Vitamin B3 (Niacin) Powder - May Cause Flush,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,B3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B3,1
2021-03-27,4.99,1.0,TX,"365 Everyday Value, Vitamin A 10 000 IU, 100 ct",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,Vitamin A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin A,1
2021-07-21,9.34,1.0,TX,"Nature Made Super B Energy Complex, Dietary Supplement for Brain Cell Function Support, 60 Softgels, 60 Day Supply",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2022-09-08,15.99,1.0,TX,"Amazon Basics (previously Solimo) Vitamin C 250mg, 150 Gummies, 2 Gummies per Serving (Pack of 2)",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2022-09-08,5.25,1.0,TX,"Amazon Elements Vitamin E, 400 IU, 100 Softgels, more than a 3 month supply (Packaging may vary)",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,Vitamin E,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Vitamin E,1
2022-09-08,4.97,1.0,TX,"NOW Supplements, Vitamin A 10,000 IU, Eye Health*, Essential Nutrition, 100 Softgels",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,Vitamin A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin A,1
2023-02-09,13.94,1.0,TX,"Nutricost Niacin (Vitamin B3) 500mg, 240 Capsules - with Flushing, Non-GMO, Gluten Free",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),3,2,5 - 10 times per month,No,No,No,No,No,B3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,B3,1
2019-11-27,10.69,3.0,CA,"Airborne 1000mg Vitamin C with Zinc Effervescent Tablets, Immune Support Supplement with Powerful Antioxidants Vitamins A C & E - 36 Fizzy Drink Tablets, Very Berry Flavor",35 - 44 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Male,heterosexual (straight),2,4+,5 - 10 times per month,No,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-06-11,15.95,1.0,FL,Peak Performance Raw Whole Food Natural Vitamin C Capsules from Acerola Cherry for Max Absorption. Vegan USA Sourced Vitamin C Supplement 90 Pills. 500 mg Serving or 2 Servings 1000mg,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-07-07,9.99,1.0,FL,"5X Potent B Complex Vitamin Supplement - Made in USA - All B Vitamins Including Vitamin B12, Folic Acid, B1, B2, B3, B5, B6, and B7 - Supplement for Energy, Stress, Brain Function and Immune Support",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,"B1, B2, B3, B6, B12, B5, B7, B12",0,0,0,0,0,1,1,1,1,1,1,1,0,0,"B1, B2, B3, B6, B12, B5, B7",7
2020-07-24,24.97,1.0,FL,"Liposomal Vitamin C Capsules 1200mg – Collagen Support, Powerful Antioxidant Boost, High Dose & High Absorption VIT C Ascorbic Acid Pills – 60 Servings – Easy to Swallow Capsules",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-07-27,14.99,1.0,FL,Vitamin C Supplement for Women & Men | USDA Organic Vitamin C Liquid Drops for Adults| Vitamin for Immune Support & Overall Health | Vegan | Non-GMO | Gluten Free | 4 Fl Oz,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,Vitamin C,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Vitamin C,1
2020-08-25,16.95,1.0,FL,"LxH Strawberry Biotin Gummy Vitamins | Biotin 5000mcg | Gluten Free, Non GMO & Vegan | Hair Skin and Nails Vitamins | Biotin Gummies with Coconut Oil | Hair Growth Vitamins for Women & Men 90 Count",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,B7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,B7,1
2021-11-04,19.99,1.0,FL,"Super Active B Complex - Pure B-50 Complex Vitamins - Natural, Methylated, Bioavailable, Vegan Vitamin Supplement For Men And Women - Supports Energy, Focus, Sleep, Immune System, Stress - 60 Capsules",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2021-12-12,19.99,1.0,FL,"Super Active B Complex - Pure B-50 Complex Vitamins - Natural, Methylated, Bioavailable, Vegan Vitamin Supplement For Men And Women - Supports Energy, Focus, Sleep, Immune System, Stress - 60 Capsules",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2022-05-27,12.97,1.0,NY,"Vitamin B12 5000 mcg, Methyl B-12 (Methylcobalamin) , Fully Bioactive Form, Natural Peach Flavor, Dissolve in Seconds, Zero Sugar, Support Energy Production, Non-GMO, 90 Vegan Fast Dissolve Tablets",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,"B1, B12, B12",0,0,0,0,0,1,0,0,0,1,0,0,0,0,"B1, B12",2
2022-08-07,16.99,1.0,FL,"Organic Plant D3 + K2 - 10,000 iu D3 - All-Trans MK7 from MenaQ7 (120 mcg K2) - 100% Organic & Plant-Based Sublingual D3 Drops (Cholecalciferol), 100% Vegan - Supports Immunity, Bone, Mood & Brain",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020-09-29,9.88,1.0,NY,"Vitafusion MultiVites Gummy Vitamins, 150ct",35 - 44 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Female,heterosexual (straight),1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
