Order Date,Purchase Price Per Unit,Quantity,Shipping Address State,Title,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Vitamins Found,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,B1,B2,B3,B6,B12,B5,B7,B9,Multivitamin
2022-11-14,16.99,1.0,UT,EZ Melts Vitamin D3 5000 IU Tablets - Vitamin D3 Dissolving Tablets for Improved Vitamin Intake - Vegan D3 Vitamins to Promote Bone Support - Zero Sugar Vitamin D3 Tablets - Apple Flavor - 90 Ct,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),2,2,More than 10 times per month,I stopped in the recent past,Yes,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-30,19.98,1.0,IL,"Optimum Nutrition Opti-Men, Vitamin C, Zinc and Vitamin D, E, B12 for Immune Support Mens Daily Multivitamin Supplement, 90 Count (Packaging May Vary)",25 - 34 years,No,"White or Caucasian,Asian",Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,2,5 - 10 times per month,Yes,Yes,No,No,No,"Vitamin C, Vitamin D, B1, B12, Multivitamin",0,1,1,0,0,1,0,0,0,1,0,0,0,1
2019-10-22,4.73,1.0,MI,"Nature's Wonder Vitamin D3 125mcg (5000IU) Soft Gels, 150 Count",65 and older,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-01-10,5.47,2.0,TX,"Doctor's Best Vitamin D3 2 000 IU Healthy Bones Teeth Heart Immune Support NonGMO GlutenFree Soy Free , 180 Count",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),2,4+,Less than 5 times per month,Yes,No,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-03-09,15.95,1.0,NC,"Sports Research Vitamin D3 5000IU (125mcg) with Coconut Oil - High Potency Vitamin D for Immune & Bone Support - Non-GMO Verified, Gluten & Soy Free (360 Liquid Softgels)",45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-04-23,15.99,1.0,IL,"Optimum Nutrition Opti-Men, Vitamin C, Zinc and Vitamin D, E, B12 for Immune Support Mens Daily Multivitamin Supplement, 90 Count (Packaging May Vary)",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),2,2,More than 10 times per month,No,Yes,No,No,No,"Vitamin C, Vitamin D, B1, B12, Multivitamin",0,1,1,0,0,1,0,0,0,1,0,0,0,1
2020-03-23,14.97,1.0,IL,"One A Day Men’s Multivitamin, Supplement with Vitamin A, Vitamin C, Vitamin D, Vitamin E and Zinc for Immune Health Support, B12, Calcium & more, 200 count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),2,2,More than 10 times per month,No,Yes,No,No,No,"Vitamin A, Vitamin C, Vitamin D, Vitamin E, B1, B12, Multivitamin",1,1,1,1,0,1,0,0,0,1,0,0,0,1
2020-10-12,13.99,1.0,IL,"Centrum Adult Multivitamin/Multimineral Supplement with Antioxidants, Zinc, Vitamin D3 and B Vitamins, Gluten Free, Non-GMO Ingredients - 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),2,2,More than 10 times per month,No,Yes,No,No,No,"Vitamin D, Multivitamin, B12",0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021-05-17,13.61,1.0,IL,"Centrum Adult Multivitamin/Multimineral Supplement with Antioxidants, Zinc, Vitamin D3 and B Vitamins, Gluten Free, Non-GMO Ingredients - 200 Count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),2,2,More than 10 times per month,No,Yes,No,No,No,"Vitamin D, Multivitamin, B12",0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021-10-25,14.97,1.0,IL,"One A Day Women’s Multivitamin, Supplement with Vitamin A, Vitamin C, Vitamin D, Vitamin E and Zinc for Immune Health Support, B12, Biotin, Calcium & More, 200 count",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),2,2,More than 10 times per month,No,Yes,No,No,No,"Vitamin A, Vitamin C, Vitamin D, Vitamin E, B1, B12, Multivitamin, B7",1,1,1,1,0,1,0,0,0,1,0,1,0,1
2018-03-29,21.95,1.0,,"Seeking Health Vitamin D Drops, 2000 IU Liquid Vitamin D3 (as cholecalciferol) per Drop in Pure Olive Oil, Potent Immune System Supplement, for Adults and Kids, Vegetarian (900 Servings)",25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),1 (just me!),1 (just me!),5 - 10 times per month,Yes,No,No,Yes,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-12,11.34,1.0,CO,"NOW Supplements, Vitamin D-3 5,000 IU, High Potency, Structural Support*, 240 Softgels",45 - 54 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),1 (just me!),4+,Less than 5 times per month,No,No,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-09-19,37.95,1.0,TX,Sports Research Vitamin D3 + K2 with 5000iu of Plant-Based D3 & 100mcg of Vitamin K2 as MK-7 | Non-GMO Verified & Vegan Certified (120ct),55 - 64 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,heterosexual (straight),2,3,More than 10 times per month,Yes,No,No,No,No,"Vitamin D, Vitamin K",0,0,1,0,1,0,0,0,0,0,0,0,0,0
2020-02-16,14.54,1.0,KS,"Centrum Silver Multivitamin for Men 50 Plus, Multivitamin/Multimineral Supplement with Vitamin D3, B Vitamins and Zinc, Gluten Free, Non-GMO Ingredients - 200 Count",65 and older,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,"Vitamin D, Multivitamin, B12",0,0,1,0,0,1,0,0,0,1,0,0,0,1
2020-08-28,14.54,1.0,KS,"Centrum Silver Multivitamin for Men 50 Plus, Multivitamin/Multimineral Supplement with Vitamin D3, B Vitamins and Zinc, Gluten Free, Non-GMO Ingredients - 200 Count",65 and older,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,"Vitamin D, Multivitamin, B12",0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021-07-30,9.97,1.0,KS,"Bronson Vitamin D3 5,000 IU (1 Year Supply) for Immune Support, Healthy Muscle Function & Bone Health, High Potency Organic Non-GMO Vitamin D Supplement, 360 Tablets",65 and older,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-11-12,9.97,1.0,KS,"Bronson Vitamin D3 5,000 IU (1 Year Supply) for Immune Support, Healthy Muscle Function & Bone Health, High Potency Organic Non-GMO Vitamin D Supplement, 360 Tablets",65 and older,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$75,000 - $99,999",Male,heterosexual (straight),1 (just me!),2,Less than 5 times per month,No,No,No,Yes,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-19,13.29,1.0,NC,"Goli Ashwagandha & Vitamin D Gummy - 60 Count - Mixed Berry, KSM-66, Vegan, Plant Based, Non-GMO, Gluten-Free & Gelatin Free Relax. Restore. Unwind.",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),2,4+,More than 10 times per month,No,No,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-10-02,12.26,1.0,NC,"Nature’s Bounty Vitamin D, Immune Support, 2000 IU, Softgels, 350 Ct",35 - 44 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),2,4+,More than 10 times per month,No,No,No,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2018-11-29,22.95,1.0,OR,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-31,22.95,1.0,OR,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-02-22,22.95,1.0,OR,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-04-28,22.95,1.0,OR,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-06-15,21.95,1.0,OR,"NATURELO Vitamin D - 2500 IU - Plant Based from Lichen - Natural D3 Supplement for Immune System, Bone Support, Joint Health - Vegan - Non-GMO - Gluten Free - 180 Mini Capsules",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-08-07,7.47,2.0,OR,"Doctor's Best Vitamin D3 2500IU with Vitashine D3, Non-GMO, Vegan, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, 60 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-08-15,7.73,2.0,OR,"Doctor's Best Vitamin D3 2500IU with Vitashine D3, Non-GMO, Vegan, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, 60 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-09-15,7.73,2.0,OR,"Doctor's Best Vitamin D3 2500IU with Vitashine D3, Non-GMO, Vegan, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, 60 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-10-15,7.73,2.0,OR,"Doctor's Best Vitamin D3 2500IU with Vitashine D3, Non-GMO, Vegan, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, 60 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-11-15,7.73,2.0,OR,"Doctor's Best Vitamin D3 2500IU with Vitashine D3, Non-GMO, Vegan, Gluten & Soy Free, Regulates Immune Function, Supports Healthy Bones, 60 Count",55 - 64 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),3,3,5 - 10 times per month,No,Yes,Yes,No,No,Vitamin D,0,0,1,0,0,0,0,0,0,0,0,0,0,0
